BV11x411K7A3,1070002,1,31,翻唱,2,http://i2.hdslb.com/bfs/archive/6cb19fbb75f6bff1a76ee7f5c66f0c1a6d41c42b.jpg,【鋼兵】STAND PROUD【JOJO 第三季OP】,1397812108,1497425524,"sm23353705 低い曲はむずかしいなぁ

最近暑苦しいアニメや熱いアニソンが再燃してるね
大変いいことだ、時代は戻ってきている( ´ ▽ ` )ﾉ


動画制作、歌、ＭＩＸ：俺
お借りしたイラスト→im3865868
",0,93,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1324413,牛牛蝎羯,http://i0.hdslb.com/bfs/face/2540fe335acdd2874d84da7a644139d90a398ec9.gif,1070002,33460,335,43,334,62,36,0,846,94,0,,,,1548153,640,360,0,,0,False,False,False,False,False,,,1070002
BV11x411K7AV,1070000,1,30,VOCALOID·UTAU,1,http://i1.hdslb.com/bfs/archive/83e536694151259f2beeb6e6b8d1e70cab4e501e.jpg,【云绛纁】染 殇【自制中文UTAU】,1397812053,1497424615,ஐ 【♠调教/绘图/PV：Miss.W  ♠Mid：冰山君】 拖延症发作的UP主从去年12月最初版到现在的1.1拖了N个月，自家音源跟个发电厂似的噪的一塌糊涂所以就不配布了，自己玩坏了也没事【No…… ※ 原曲：av807986 建议调小音量 ※…… 人设也懒得画，大概什么时候不犯病了会再录【对手指…… 感谢点进来的小天使ヾ (o °  3 ° O ) ノ,0,254,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,619108,爱神Cupid,https://i1.hdslb.com/bfs/face/499625f79c8ab5cfe7d19a2cf386afb8f4e12a27.jpg,1070000,1466,30,14,11,10,12,0,0,1,0,,,,1548097,640,360,0,,0,False,False,False,False,False,,,1070000
BV11x411K7AL,1070006,1,27,综合,1,http://i0.hdslb.com/bfs/archive/0c917d8fad5dac06cad15a009518243de0fcf203.jpg,【玩坏】no game no life 游戏人生,1397812353,1497427576,二次创作 Animation第21作 no play no life 本作纯属搞笑 仅表本人对no game no life的喜爱 希望喜欢,0,545,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3102062,Anime55,http://i2.hdslb.com/bfs/face/015a5910c80707c540474a5e7feea4e14d60ce2b.jpg,1070006,15707,1179,24,184,59,34,0,0,0,0,,,,1548129,640,360,0,,0,False,False,False,False,False,,,1070006
BV11x411K7A5,1070007,1,95,数码,2,http://i2.hdslb.com/bfs/archive/a8e2093050e04e3d275271abff9ce710068733d7.jpg,诺基亚 LUMIA 1320 动手体验 by 魏布斯,1397812422,1497425712,"优酷 诺基亚 LUMIA 1320 动手体验 by 魏布斯    打个广告想学习后期，声乐，编曲的少年萌妹可以加入 205791474
",0,205,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1450616,翀不是羽中,http://i2.hdslb.com/bfs/face/f924df14d02e0535ff7a9cf8e79b918a97f4aade.jpg,1070007,10534,91,7,15,5,19,0,802,9,0,,,,1548131,638,360,0,,0,False,False,False,False,False,,,1070007
BV11x411K7A7,1070004,1,21,日常,2,http://i0.hdslb.com/bfs/archive/f1188fc96749f2da5cb9ca7984d0400d7dd8fbb9.jpg,阜阳公安防盗RAP,1397812241,1497381336,阜阳市公安局 阜阳公安防盗RAP,0,165,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125997,孤独的狼,http://i0.hdslb.com/bfs/face/5d2c92beb774a4bb30762538bb102d23670ae9c0.gif,1070004,1076,38,9,5,4,29,0,0,12,0,,,,1548101,480,360,0,,0,False,False,False,False,False,,,1070004
BV11x411K7AA,1070010,1,21,日常,2,http://i2.hdslb.com/bfs/archive/8d64af49e0c5ecf287d8a7e8adf3971397313dea.jpg,玩滑板的傻缺失误视频锦集,1397812453,1497399930,youtube 喜闻乐见的感冒了。。。,0,398,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,212230,八尾妖姬,https://i1.hdslb.com/bfs/face/18d025bf5de52117d4f44192191d04eed71484d2.jpg,1070010,7818,207,11,57,5,118,0,0,20,0,,,,1548133,638,360,0,,0,False,False,False,False,False,,,1070010
BV11x411K7AT,1070014,1,19,Mugen,1,http://i0.hdslb.com/bfs/archive/6d7af1896e45ad6e04d0aaf82a25c1d6608249fb.jpg,MUGEN 狂级左右（凶上-狂中）大会29P,1397812587,1497424733,自制 感觉自己在录制方面又开始变懒了,0,1516,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,663792,tuhr123,https://i0.hdslb.com/bfs/face/d5a7df5f269dd529e6b2bf7837cc7da6bf179041.jpg,1070014,5234,721,57,8,25,20,0,590,1,0,,,,1548138,640,360,0,,0,False,False,False,False,False,,,1070014
BV11x411K7cS,1070017,1,71,综艺,2,http://i2.hdslb.com/bfs/archive/804cc2923a320b0942019e2c12778f2907e1a90c.jpg,【TFBOYS】【凯源玺】140403—140404 广州接机,1397812674,1497427796,新浪自传 视频来自【Tina姐姐】广州接机拍摄，一直战渣浪不成功，今晚继续去试一下，战成功会来换档的！渣浪你等着！,0,63,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3384949,鮫島社長的鸽,http://i2.hdslb.com/bfs/face/0291f35bd45641f12ec5e26e1db0e9603a8b9579.jpg,1070017,3691,13,0,11,0,21,0,0,0,0,,,,1548141,640,360,0,,0,False,False,False,False,False,,,1070017
BV11x411K7Au,1070012,1,65,网络游戏,1,http://i0.hdslb.com/bfs/archive/82546b38c59aa8beef7a65c934e5ea70317a25c6.jpg,【坦克世界美服】坦克世界美服低端娱乐局18—刀尖舞者ELC,1397812522,1497418424,自制 零技术，渣制作，视频为优酷源请点开视频右侧小齿轮的高清模式，UP是新手求轻喷~。投稿请丢ajredoi@gmail.com。本期四姐，T69，416工程以及ELC，四场应该都是拿M章的视频。416工程那场是死命找神秘嘉宾约稿约来的=。。=版本末期的爆发更新之二~最后求硬币~,0,2078,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,310476,黑化零度,https://i0.hdslb.com/bfs/face/c2b1d61eed8da1be0661a785439c41e3219b6230.jpg,1070012,597,33,6,1,17,17,0,0,0,0,,,,1548135,1104,622,0,,0,False,False,False,False,False,,,1070012
BV11x411K7cU,1070018,1,47,短片·手书·配音,1,http://i1.hdslb.com/bfs/archive/a19e1b3f30d097d3afe418e4d440758be154ddfa.jpg,【新语联盟】战勇——变得奇怪了09,1397812810,1497425298,ED:av491822 STAFF:策划(叮当凤儿&amp;皮诺Pino曹)|剧本&amp;视频后期(皮诺Pino曹)|背景带(Lolicon)|混音(xufeifan)|压制上传(兰陵笑笑生)|| CAST:勇者(枫茗)|战士&amp;旁白&amp;国王(皮诺Pino曹)|魔王(假人参)|艾因(北炎)|帝参拔(清水浊流)||关于王冠和战勇的最新动态，请关注我的微博@皮诺Pino曹,0,631,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,919244,陈皮诺Pino,https://i2.hdslb.com/bfs/face/3d7ce4427d4759a7bdf40449142b745aaffbdec3.jpg,1070018,28704,485,94,129,175,36,0,997,58,0,,,,1548142,0,0,0,,0,False,False,False,False,False,,,1070018
